,field_domain_id,field_site_id,field_site_name,field_site_type,field_site_subtype,field_colocated_site,field_site_host,field_site_url,field_nonneon_research_allowed,field_access_details,field_neon_field_operations_office,field_latitude,field_longitude,field_geodetic_datum,field_utm_northing,field_utm_easting,field_utm_zone,field_site_county,field_site_state,field_site_country,field_mean_elevation,field_minimum_elevation,field_maximum_elevation,field_mean_annual_temperature,field_mean_annual_precipitation,field_dominant_wind_direction,field_mean_canopy_height,field_dominant_nlcd_classes,field_domint_plant_species,field_usgs_huc,field_watershed_name,field_watershed_size,field_lake_depth_mean,field_lake_depth_max,field_tower_height,field_usgs_geology_unit,field_megapit_soil_family,field_soil_subgroup,field_avg_number_of_green_days,field_avg_grean_increase_date,field_avg_green_max_date,field_avg_green_decrease_date,field_avg_green_min_date,field_phenocams,field_number_tower_levels,Unnamed: 45,Unnamed: 46
0,D01,BART,Bartlett Experimental Forest,Relocatable Terrestrial,,,"Northern Research Station, US Forest Service",https://www.nrs.fs.fed.us/ef/locations/nh/bartlett/,Yes,Bartlett Experimental Forest has very limited staff and the USFS personnel are NOT available to support external researchers. Permitting requests for research activities should be submitted at least 6 months prior to planned start.,Domain 01 Support Facility,44.063889,-71.287375,WGS84,4881511.552,316812.1595,19N,Carroll,NH,USA,274,230.0,655.0,6.2,1325.0,S,,Deciduous Forest|Evergreen Forest|Mixed Forest,Fagus grandifolia (American beech)|Tsuga cadensis (Eastern hemlock)|Acer rubrum (Red maple),,,,,,35.0,NHJc1b,0,"Coarse-loamy, isotic, frigid.  Aquic Haplorthods.",Aquic Haplorthods,180,120,170,220,300,[Tower top](https://phenocam.sr.unh.edu/webcam/sites/NEON.D01.BART.DP1.00033)|[Tower bottom](https://phenocam.sr.unh.edu/webcam/sites/NEON.D01.BART.DP1.00042),6,
1,D01,HARV,Harvard Forest,Core Terrestrial,,HOPB,Harvard University|Massachusetts DCR Division of Water Supply Protection,https://harvardforest.fas.harvard.edu/conducting-research|https://www.mass.gov/service-details/watershed-permits,Yes / Limited,Field site managed by Harvard University - open to additional research via the Harvard Experimental Forest website. Many other colocated research projects within NEON area. / Field site located in the Quabbin Resevoir - Massachusetts DCR Division of Water Supply Protection . This property is very limited to additional research - researchers should take necessary coordinations with the DCR.,Domain 01 Support Facility,42.53691,-72.17265,WGS84,4713265.041,732183.1938,18N,Worcester,MA,USA,348,160.0,415.0,7.4,1199.0,NW,1.5,Deciduous Forest|Evergreen Forest|Mixed Forest|Woody Wetlands,Osmunda cinmomea (Cinmon fern)|Quercus rubra (Northern red oak)|Tsuga cadensis (Eastern hemlock),,,,,,39.0,MADht,0|MAOps,0,"Coarse, loamy over sandy or sandy, skeletal, mixed, semiactive, frigid.  Oxyaquic Dystrudepts.",Oxyaquic Dystrudepts,210,110,160,220,300,[Tower top](https://phenocam.sr.unh.edu/webcam/sites/NEON.D01.HARV.DP1.00033)|[Tower bottom](https://phenocam.sr.unh.edu/webcam/sites/NEON.D01.HARV.DP1.00042),6.0
3,D02,BLAN,Blandy Experimental Farm,Relocatable Terrestrial,,LEWI,University of Virginia|Private Land,http://blandy.virginia.edu/research|,Yes (Tower and TIS) / Very Limited,Research activity at the NEON tower area via University of Virginia. / Very limited available via private land owner.,Domain 02 Support Facility,39.033698,-78.041788,WGS84,4327545.884,753379.5421,17N,Clarke,VA,USA,183,119.0,193.0,12.1,983.0,NW,35,Deciduous Forest|Pasture/Hay,Rhamnus davurica (dahurian buckthorn)|Lonicera maackii (amur honeysuckle)|Juglans nigra (eastern black walnut),,,,,,8.0,VAOCAco,0,"Fine, mixed, subactive, mesic. Ultic Hapludalfs.",Ultic Hapludalfs,235,75,150,210,310,[Tower top](https://phenocam.sr.unh.edu/webcam/sites/NEON.D02.BLAN.DP1.00033)|[Tower bottom](https://phenocam.sr.unh.edu/webcam/sites/NEON.D02.BLAN.DP1.00042),4,
6,D02,SCBI,Smithsonian Conservation Biology Institute,Core Terrestrial,,POSE,Smithsonian Institution,https://www.si.edu/unit/conservation-biology-institute,Yes,Significant portions of the site are off-limits or have restricted access due to captive animal activities. Annual hunting activities may render this area completely inaccessible for short periods of time (1 or 2 days) over the course of the season. Most research activities require approval from a land-use committee, and stays longer than a month may require the researcher to apply for contractor credentials and submit to a background check.,Domain 02 Support Facility,38.892925,-78.139494,WGS84,4308784.078,748090.6473,17N,Warren,VA,USA,352.0,251.0,571.0,11.6,1126,SSE,0.4,Deciduous Forest|Evergreen Forest|Pasture/Hay,Liriodendron tulipifera (tulip tree)|Microstegium vimineum (Japanese stiltgrass)|Fraxinus america (white ash),,,,,,52,VACAZc,0,"Loamy, skeletal, mixed, active, mesic. Ultic Hapludalfs.",Ultic Hapludalfs,245,85,150,220,320,[Tower top](https://phenocam.sr.unh.edu/webcam/sites/NEON.D02.SCBI.DP1.00033)|[Tower bottom](https://phenocam.sr.unh.edu/webcam/sites/NEON.D02.SCBI.DP1.00042),6.0
7,D02,SERC,Smithsonian Environmental Research Center,Relocatable Terrestrial,,,Smithsonian Institution,https://serc.si.edu/,Yes,"Some areas of the site have pre-existing experiments and a high density of markers, equipment, sensors etc. Care should be taken to coordinate and avoid impacting on-going work at the site. All researchers must be accompanied while on-site by at least one individual with an approved Visiting Scientist Agreement. Annual hunting activities may render this area completely inaccessible for short periods of time (1 or 2 days) over the course of the season.",Domain 02 Support Facility,38.890131,-76.560014,WGS84,4305735.3,364703.6624,18N,Anne Arundel,MD,USA,33,0.0,43.0,13.6,1075.0,NNW,2,Cultivated Crops|Deciduous Forest,Liriodendron tulipifera (tulip poplar)|Fagus grandifolia (American Beech)|Liquidambar styraciflua (American sweetgum),,,,,,62.0,MDTn,5,"Fine, loamy, mixed, active, mesic. Aquic Hapludults.",Aquic Hapludults,245,80,155,220,325,[Tower top](https://phenocam.sr.unh.edu/webcam/sites/NEON.D02.SERC.DP1.00033)|[Tower bottom](https://phenocam.sr.unh.edu/webcam/sites/NEON.D02.SERC.DP1.00042),6,
9,D03,DSNY,Disney Wilderness Preserve,Relocatable Terrestrial,,,The Nature Conservancy,https://www.nature.org/en-us/get-involved/how-to-help/places-we-protect/the-disney-wilderness-preserve/,Yes,New research requests may be restricted to limited portions of the preserve - coordination required with preserve management.,Domain 03 Support Facility,28.12505,-81.43619,WGS84,3111130.689,457161.0924,17N,Osceola,FL,USA,20,15.0,22.0,22.5,1216.0,E,20,Pasture/Hay|Woody Wetlands,Andropogon virginicus (broomsedge bluestem)|Aristida beyrichia (wiregrass)|Axonopus furcatus (big carpetgrass),,,,,,8.0,FLPSHu,0,"Sandy, siliceous, hyperthermic.  Aeric Alaquods.",Aeric Alaquods,260,60,140,190,320,[Tower top](https://phenocam.sr.unh.edu/webcam/sites/NEON.D03.DSNY.DP1.00033)|[Tower bottom](https://phenocam.sr.unh.edu/webcam/sites/NEON.D03.DSNY.DP1.00042),4,
11,D03,JERC,Jones Ecological Research Center,Relocatable Terrestrial,,FLNT,"Robert Woodruff Foundation, Inc.",http://www.jonesctr.org/research/,Yes,This area is a very active research community and will required a site research permit.,Domain 03 Support Facility,31.194839,-84.468623,WGS84,3453956.371,741205.7224,16N,Baker,GA,USA,47,29.0,55.0,19.2,1308.0,NE,30,Cultivated Crops|Deciduous Forest|Evergreen Forest|Mixed Forest,Aristida beyrichia (wiregrass)|Quercus falcata (southern red oak)|Pinus palustris (longleaf pine),,,,,,42.0,GAEOo,1,"Loamy, kaolinitic, thermic.  Arenic Kandiudults.",Arenic Kandiudults,220,90,175,220,310,[Tower top](https://phenocam.sr.unh.edu/webcam/sites/NEON.D03.JERC.DP1.00033)|[Tower bottom](https://phenocam.sr.unh.edu/webcam/sites/NEON.D03.JERC.DP1.00042),6,
12,D03,OSBS,Ordway-Swisher Biological Station,Core Terrestrial,,BARC|SUGG,University of Florida Foundation,https://ordway-swisher.ufl.edu/ResearchUse.aspx,Yes,This area is a very active research community and will required a site research permit.,Domain 03 Support Facility,29.689282,-81.993431,WGS84,3284767.489,403886.41799999995,17N,Putnam,FL,USA,46,22.0,49.0,20.9,1302.0,NE,1,Emergent Herbaceous Wetlands|Evergreen Forest|Woody Wetlands,Quercus laevis (turkey oak)|Pinus palustris (longleaf pine)|Aristida beyrichia (Beyrich threeawn),,,,,,35.0,FLPOc,0,,Typic Quartzipsam-ments,245,70,150,190,315,[Tower top](https://phenocam.sr.unh.edu/webcam/sites/NEON.D03.OSBS.DP1.00033)|[Tower bottom](https://phenocam.sr.unh.edu/webcam/sites/NEON.D03.OSBS.DP1.00042),6,
15,D04,GUAN,Guanica Forest,Core Terrestrial,,,"State Forest, Dept. of Natural and Environmental Resources, Commonwealth of Puerto Rico",,Limited,It is highly recommended that prospective researchers make contact well in advance of any planned work (> 6 months) as there are multiple steps and a high level of coordination that must take place to gain permission and access to this area. All requests will be evaluated on a case-by-case basis by the site hosts.,Domain 04 Support Facility,17.96955,-66.8687,WGS84,1988112.213,725706.1285,19N,Guanica Municipio,PR,USA,125,8.0,209.0,23.0,840.0,S,,Evergreen Forest,Gymnthes lucida (oysterwood)|Croton lucidus (firebush)|Eugenia foetida (Spanish stopper),,,,,,23.0,Tjd,"Coarse, loamy, carbonatic, isohyperthermic. Typic Haplocalcids.",Typic Haplocalcids,365,,,,,[Tower top](https://phenocam.sr.unh.edu/webcam/sites/NEON.D04.GUAN.DP1.00033)|[Tower bottom](https://phenocam.sr.unh.edu/webcam/sites/NEON.D04.GUAN.DP1.00042),5,,
17,D04,LAJA,Lajas Experimental Station,Relocatable Terrestrial,,,University of Puerto Rico,,Limited,"The site host actively encourages research at this site, however all requests will be evaluated on a case-by-case basis. Please note that due to the high density of research taking place in this area, it is critical to coordinate closely with the site host to ensure no conflicts with ongoing research.; > 6months prior to planned schedule.",Domain 04 Support Facility,18.021261,-67.07688900000001,WGS84,1993593.871,703591.1281,19N,Lajas Municipio,PR,USA,16,13.0,41.0,25.0,830.0,SSE,,Cultivated Crops|Grassland/Herbaceous|Pasture/Hay,Pithecellobium dulce (pinzán)|Cynodon nlemfuensis (African bermudagrass)|Urochloa maxima (guineagrass),,,,,,8.0,Qa,"Fine, mixed, superactive, isohyperthermic.  Sodic Haplusterts.",Sodic Haplusterts,365,,,,,[Tower top](https://phenocam.sr.unh.edu/webcam/sites/NEON.D04.LAJA.DP1.00033)|[Tower bottom](https://phenocam.sr.unh.edu/webcam/sites/NEON.D04.LAJA.DP1.00042),4,,
20,D05,STEI,Steigerwaldt Land Services,Relocatable Terrestrial,,,Private|Chequamegon Nicolet National Forest,|https://www.fs.usda.gov/cnnf/,Very Limited / Yes,Very limited available via private land owner. / NEON sampling area of this field site is located in Chequamegon Nicolet National Forest. Additional research may take place in this area with site host permission.,Domain 05 Support Facility,45.50894,-89.58637,WGS84,5042743.852,297968.6864,16N,Lincoln,WI,USA,476,466.0,536.0,4.8,797.0,WSW,34,Deciduous Forest|Mixed Forest|Woody Wetlands,Populus tremuloides (quaking aspen)|Abies balsamea (balsam fir)|Acer rubrum (red maple),,,,,,22.0,WIXmi,0|WIXmv,0,"Coarse, loamy, mixed, superactive, frigid. Alfic Epiaquods.",Alfic Epiaquods,170,120,165,215,290,[Tower top](https://phenocam.sr.unh.edu/webcam/sites/NEON.D05.STEI.DP1.00033)|[Tower bottom](https://phenocam.sr.unh.edu/webcam/sites/NEON.D05.STEI.DP1.00042),6.0
21,D05,TREE,Treehaven,Relocatable Terrestrial,,,University of Wisconsin-Stevens Point,https://www.uwsp.edu/cnr-ap/treehaven/Pages/Research-Form.aspx,Yes,Treehaven encourages research projects. Research activities may be limited based on other uses of this property and on-going projects.,Domain 05 Support Facility,45.49369,-89.58570999999999,WGS84,5041047.894,297965.3164,16N,Lincoln,WI,USA,467,447.0,482.0,4.8,797.0,WSW,,Deciduous Forest|Evergreen Forest|Mixed Forest|Woody Wetlands,Acer saccharum (sugar maple)|Acer rubrum (red maple)|Alnus inca (grey alder),,,,,,36.0,WIXmv,0,"Coarse, loamy, mixed, superactive, frigid. Alfic Haplorthods.",Alfic Haplorthods,170,120,165,215,290,[Tower top](https://phenocam.sr.unh.edu/webcam/sites/NEON.D05.TREE.DP1.00033)|[Tower bottom](https://phenocam.sr.unh.edu/webcam/sites/NEON.D05.TREE.DP1.00042),6,
22,D05,UNDE,UNDERC,Core Terrestrial,,,University of Notre Dame,https://underc.nd.edu/underc-west/research-opportunities/,Yes,"UNDERC encourages research; subject to evaluation based on potential for scientific advancement, impact on the site, and consistency and compatibility with other designated, non-research, uses of the property.",Domain 05 Support Facility,46.23391,-89.537254,WGS84,5123162.886,304366.9502,16N,Gogebic,MI,USA,521,501.0,538.0,4.3,802.0,SSW,0.3,Deciduous Forest|Mixed Forest|Woody Wetlands,Acer saccharum (sugar maple)|Abies balsamea (balsam fir)|Acer rubrum (red maple),,,,,,39.0,MIAgn,0,"Coarse, loamy, mixed, superactive, frigid. Argic Fragiaquods.",Argic Fragiaquods,165,120,170,215,285,[Tower top](https://phenocam.sr.unh.edu/webcam/sites/NEON.D05.UNDE.DP1.00033)|[Tower bottom](https://phenocam.sr.unh.edu/webcam/sites/NEON.D05.UNDE.DP1.00042),6,
24,D06,KONA,Konza Prairie Biological Station - Relocatable,Relocatable Terrestrial,,KING,Kansas State University,https://kpbs.konza.k-state.edu/scientist-information/permits.html,Yes,KSU - Konza Prairie Biological Station (KSU) welcomes and encourages research use that fits their mission and is compatible with their abilities as a host. Please plan on at more than two weeks advance notice to request and plan site access.,Domain 06 Support Facility,39.110446,-96.612935,WGS84,4331745.281,706389.4538,14N,Riley,KS,USA,323,312.0,359.0,12.7,850.0,SSW,28,Cultivated Crops,"Agriculture field, crops vary year to year",,,,,,8.0,KSQal3,0,"Fine, smectitic, mesic.  Pachic Vertic Argiudolls.",Pachic Vertic Argiudolls,210,90,160,210,300,[Tower top](https://phenocam.sr.unh.edu/webcam/sites/NEON.D06.KONA.DP1.00033)|[Tower bottom](https://phenocam.sr.unh.edu/webcam/sites/NEON.D06.KONA.DP1.00042),4,
25,D06,KONZ,Konza Prairie Biological Station,Core Terrestrial,,,"The Nature Conservancy, Kansas State University",https://kpbs.konza.k-state.edu/scientist-information/permits.html,Yes,The Nature Conservancy and Konza Prairie Biological Station (KSU) welcomes and encourages research use that fits their mission and is compatible with their abilities as a host. Please plan on at more than two weeks advance notice to request and plan site access.,Domain 06 Support Facility,39.100774,-96.563075,WGS84,4330786.534,710729.798,14N,Riley,KS,USA,414,333.0,443.0,12.4,870.0,SSW,,Deciduous Forest|Grassland/Herbaceous,Cornus drummondii (Roughleaf Dogwood)|Schizachyrium scoparium (Little Bluestem)|Andropogon gerardii (Big Bluestem),,,,,,8.0,KSPc,0,"Fine, smectitic, mesic. Pachic Udertic Argiustolls.",Pachic Udertic Argiustolls,210,90,160,210,300,[Tower top](https://phenocam.sr.unh.edu/webcam/sites/NEON.D06.KONZ.DP1.00033)|[Tower bottom](https://phenocam.sr.unh.edu/webcam/sites/NEON.D06.KONZ.DP1.00042),4,
27,D06,UKFS,The University of Kansas Field Station,Relocatable Terrestrial,,,University of Kansas,https://biosurvey.ku.edu/research,Yes,This site host welcomes and encourages research use that fits their mission and is compatible with their abilities as a host. Please plan on at more than two weeks advance notice to request and plan site access.,Domain 06 Support Facility,39.040431,-95.19215,WGS84,4323549.848,310276.2976,15N,Jefferson,KS,USA,322,272.0,332.0,12.7,990.0,SE,,Deciduous Forest|Pasture/Hay,Fraxinus america (white ash)|Symphoricarpos orbiculatus (coralberry)|Celtis occidentalis (common hackberry),,,,,,35.0,KSQgd,0,"Fine, smectitic, mesic. Pachic Argiudolls.",Pachic Argiudolls,255,75,160,210,330,[Tower top](https://phenocam.sr.unh.edu/webcam/sites/NEON.D06.UKFS.DP1.00033)|[Tower bottom](https://phenocam.sr.unh.edu/webcam/sites/NEON.D06.UKFS.DP1.00042),6,
28,D07,GRSM,"Great Smoky Mountains National Park, Twin Creeks",Relocatable Terrestrial,,LECO,National Park Service,https://irma.nps.gov/rprs/,Yes,The National Park Service is open to additional research activities taking place in this area. Apply via IRMA Permitting portal.,Domain 07 Support Facility,35.68896,-83.50195,WGS84,3952335.289,273599.8765,17N,Sevier,TN,USA,575,426.0,1978.0,13.1,1375.0,NW,24,Deciduous Forest|Evergreen Forest,Liriodendron tulipfera (tulip tree/yellow poplar)|Lindera benzoin (spicebush)|Acer rubrum (red maple),,,,,,45.0,TNpCAs,15,"Loamy, skeletal, isotic, mesic.  Typic Humudepts.",Typic Humudepts,220,90,155,215,310,[Tower top](https://phenocam.sr.unh.edu/webcam/sites/NEON.D07.GRSM.DP1.00033)|[Tower bottom](https://phenocam.sr.unh.edu/webcam/sites/NEON.D07.GRSM.DP1.00042),6,
30,D07,MLBS,Mountain Lake Biological Station,Relocatable Terrestrial,,,University of Virginia|George Washington and Jefferson National Forest,https://mlbs.virginia.edu/resapp|https://www.fs.usda.gov/gwj/,Yes / Limited,Mountain Lake Biological Station is open to additional research activities taking place in this area. / Researchers should coordinate directly with the US Forest Service for permitting and approval.,Domain 07 Support Facility,37.378314,-80.524847,WGS84,4136943.44,542067.64,17N,Giles,VA,USA,1170,752.0,1320.0,8.8,1227.0,WNW,,Deciduous Forest,Acer rubrum (red maple)|Quercus alba (northern red oak)|Quercus rubra (white oak),,,,,,29.0,VADSz,0,The dominant wind direction is west-northwest.,Fluvaquents,200,110,160,220,310,[Tower top](https://phenocam.sr.unh.edu/webcam/sites/NEON.D07.MLBS.DP1.00033)|[Tower bottom](https://phenocam.sr.unh.edu/webcam/sites/NEON.D07.MLBS.DP1.00042),6,
31,D07,ORNL,Oak Ridge,Core Terrestrial,,WALK,Department of Energy,https://www.ornl.gov/division/esd,Very Limited,There is currently no system in place to authorize access for additional research activities to this federally secure area. Coordinate directly with site manager.,Domain 07 Support Facility,35.964128,-84.282588,WGS84,3983383.087,745052.4354,16N,Anderson,TN,USA,344,230.0,356.0,14.4,1340.0,WNW,13,Deciduous Forest|Evergreen Forest|Pasture/Hay,Acer rubrum (red maple)|Nyssa sylvatica (sour gum)|Quercus monta (chestnut oak),,,,,,39.0,TNOnc,10|TNCAcr,10,"Fine, kaolinitic, thermic. Typic Paleudults.",Typic Paleudults,225,90,140,210,315,[Tower top](https://phenocam.sr.unh.edu/webcam/sites/NEON.D07.ORNL.DP1.00033)|[Tower bottom](https://phenocam.sr.unh.edu/webcam/sites/NEON.D07.ORNL.DP1.00042),6.0
34,D08,DELA,Dead Lake,Relocatable Terrestrial,,BLWA,US Army Corps of Engineers,https://www.sam.usace.army.mil/,Limited,"This area is primarily intended to provide recreational opportunities and is also classified as a hunting area. As such, access is very limited but potentially possible.",Domain 08 Support Facility,32.541727,-87.803877,WGS84,3524154.818,389258.9837,16N,Greene,AL,USA,25,21.0,41.0,17.6,1372.0,SW,,Evergreen Forest|Woody Wetlands,Quercus nigra (Water oak)|Celtis laevigata (Sugarberry)|Acer rubrum (Red maple),,,,,,42.0,ALHalt,0,"Fine, mixed, semiactive, thermic. Aquic Paleudults.",Aquic Paleudults,270,60,135,205,330,[Tower top](https://phenocam.sr.unh.edu/webcam/sites/NEON.D08.DELA.DP1.00033)|[Tower bottom](https://phenocam.sr.unh.edu/webcam/sites/NEON.D08.DELA.DP1.00042),6,
